home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Colorado Avalanche,Pittsburgh Penguins,Kris Letang,0.5,2.8,Sportsbet,1.4,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.14285714285714
Seattle Kraken,Minnesota Wild,Vince Dunn,0.5,2.1,Sportsbet,1.68,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.14285714285714
Edmonton Oilers,Anaheim Ducks,Jackson LaCombe,0.5,2.3,Sportsbet,1.57,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.172528385488786
Pittsburgh Penguins,Columbus Blue Jackets,Matt Grzelcyk,0.5,2.65,Bet365,1.44,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.180293501048229
Pittsburgh Penguins,Columbus Blue Jackets,Kirill Marchenko,0.5,1.719,Pinnacle,2.04,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.1929644458132325
Colorado Avalanche,Pittsburgh Penguins,Sidney Crosby,0.5,1.53,Sportsbet,2.39,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.200481308283413
Seattle Kraken,Minnesota Wild,Brandon Montour,0.5,2.39,Sportsbet,1.53,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.200481308283413
Pittsburgh Penguins,Columbus Blue Jackets,Yegor Chinakhov,0.5,2.55,Bet365,1.47,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.242897158863548
Seattle Kraken,Minnesota Wild,Frederick Gaudreau,0.5,2.68,Sportsbet,1.43,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.24350276589083
Pittsburgh Penguins,Columbus Blue Jackets,Kris Letang,0.5,2.34,Pinnacle,1.55,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.2511717673008125
Edmonton Oilers,Anaheim Ducks,Zach Hyman,0.5,1.55,Sportsbet,2.34,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.2511717673008125
Edmonton Oilers,Anaheim Ducks,Connor McDavid,1.5,1.77,Sportsbet,1.97,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-7.258596461039879
Pittsburgh Penguins,Columbus Blue Jackets,Boone Jenner,0.5,2.03,Pinnacle,1.724,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.26572411507207
Pittsburgh Penguins,Columbus Blue Jackets,Erik Karlsson,0.5,1.86,Bet365,1.869,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.267988746785425
Pittsburgh Penguins,Columbus Blue Jackets,Erik Karlsson,0.5,1.869,Pinnacle,1.86,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.267988746785425
Colorado Avalanche,Pittsburgh Penguins,Casey Mittelstadt,0.5,2.16,Sportsbet,1.64,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.271906052393851
Colorado Avalanche,Pittsburgh Penguins,Rickard Rakell,0.5,1.83,Sportsbet,1.9,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.276387690537822
Seattle Kraken,Minnesota Wild,Marco Rossi,0.5,1.83,Sportsbet,1.9,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-7.276387690537822
Colorado Avalanche,Pittsburgh Penguins,Cale Makar,1.5,2.83,Sportsbet,1.39,Sportsbet,Player Points,Colorado Avalanche v Pittsburgh Penguins,-7.278135089101867
Pittsburgh Penguins,Columbus Blue Jackets,Kris Letang,0.5,2.34,Pinnacle,1.549,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-7.292821947437833
