market_name,home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,match,margin
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Morgan Rielly,1.5,1.95,Bet365,1.8,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.837606837606858
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Sebastian Antero Aho,2.5,1.95,Bet365,1.8,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.837606837606858
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Taylor Hall,1.5,1.95,Bet365,1.8,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.837606837606858
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Ryan O'Reilly,1.5,1.806,Pinnacle,1.943,Pinnacle,Nashville Predators v Colorado Avalanche,-6.837789515020853
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Morgan Rielly,1.5,1.943,Pinnacle,1.806,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-6.837789515020853
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Jackson LaCombe,1.5,1.775,Pinnacle,1.98,Neds,Boston Bruins v Anaheim Ducks,-6.8430786740645955
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Tyler Bertuzzi,1.5,1.98,Pinnacle,1.775,Pinnacle,Columbus Blue Jackets v Chicago Blackhawks,-6.8430786740645955
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Mattias Ekholm,1.5,1.64,Bet365,2.18,Pinnacle,Philadelphia Flyers v Edmonton Oilers,-6.847169389125085
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Owen Tippett,2.5,2.18,Pinnacle,1.64,Bet365,Philadelphia Flyers v Edmonton Oilers,-6.847169389125085
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Steven Stamkos,1.5,1.534,Pinnacle,2.4,Bet365,Nashville Predators v Colorado Avalanche,-6.85571490656236
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Filip Chytil,1.5,1.534,Pinnacle,2.4,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.85571490656236
Player Shots on Goal,Florida Panthers,Seattle Kraken,Carter Verhaeghe,3.5,2.35,Bet365,1.555,Pinnacle,Florida Panthers v Seattle Kraken,-6.861873161387422
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,John Tavares,2.5,2.35,Bet365,1.555,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-6.861873161387422
Player Shots on Goal,Florida Panthers,Seattle Kraken,Jared McCann,1.5,1.555,Pinnacle,2.35,Bet365,Florida Panthers v Seattle Kraken,-6.861873161387422
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Taylor Hall,1.5,1.934,Pinnacle,1.813,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-6.863506183937562
Player Shots on Goal,Florida Panthers,Seattle Kraken,Vince Dunn,1.5,1.55,Bet365,2.36,Pinnacle,Florida Panthers v Seattle Kraken,-6.889010388190275
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Pavel Zacha,1.5,1.55,Bet365,2.36,Pinnacle,Boston Bruins v Anaheim Ducks,-6.889010388190275
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Matt Boldy,3.5,2.36,Pinnacle,1.55,Neds,Detroit Red Wings v Minnesota Wild,-6.889010388190275
Player Shots on Goal,Florida Panthers,Seattle Kraken,Gustav Forsling,2.5,2.36,Pinnacle,1.55,Bet365,Florida Panthers v Seattle Kraken,-6.889010388190275
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Cole Perfetti,1.5,1.75,Neds,2.01,Pinnacle,St. Louis Blues v Winnipeg Jets,-6.894100923951685
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Kyle Connor,2.5,1.75,Neds,2.01,Pinnacle,St. Louis Blues v Winnipeg Jets,-6.894100923951685
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Brayden Schenn,1.5,2.01,Pinnacle,1.75,Neds,St. Louis Blues v Winnipeg Jets,-6.894100923951685
Player Shots on Goal,Los Angeles Kings,Utah Hockey Club,Barrett Hayton,1.5,1.735,Pinnacle,2.03,Pinnacle,Los Angeles Kings v Utah Hockey Club,-6.897971351911547
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Aliaksei Protas,1.5,1.7,Neds,2.08,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.9004524886877805
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Erik Karlsson,2.5,2.08,Pinnacle,1.7,Neds,Pittsburgh Penguins v Washington Capitals,-6.9004524886877805
Player Shots on Goal,Los Angeles Kings,Utah Hockey Club,Alex Laferriere,2.5,1.85,Neds,1.892,Pinnacle,Los Angeles Kings v Utah Hockey Club,-6.908176675618538
