home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
New York Rangers,Vegas Golden Knights,Mark Stone,0.5,1.76,Bet365,2,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-6.818181818181834
Vancouver Canucks,Detroit Red Wings,Lucas Raymond,0.5,2.1,Bet365,1.689,Pinnacle,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.82567876173561
New York Rangers,Vegas Golden Knights,Alex Pietrangelo,0.5,3.1,Bet365,1.341,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-6.829280026941853
Dallas Stars,Columbus Blue Jackets,Zach Werenski,0.5,1.95,Bet365,1.8,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.837606837606858
Florida Panthers,New York Islanders,Matthew Tkachuk,0.5,1.95,Neds,1.8,Neds,Player Assists,Florida Panthers v New York Islanders,-6.837606837606858
Florida Panthers,New York Islanders,Anders Lee,0.5,3.05,Neds,1.35,Neds,Player Assists,Florida Panthers v New York Islanders,-6.8609593199757235
Vancouver Canucks,Detroit Red Wings,Elias Pettersson,0.5,2.35,Bet365,1.555,Pinnacle,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.861873161387422
UTA Hockey Club,St. Louis Blues,Barrett Hayton,0.5,3,Bet365,1.36,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-6.8627450980392135
Vancouver Canucks,Detroit Red Wings,Jake DeBrusk,0.5,3,Bet365,1.36,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.8627450980392135
Dallas Stars,Columbus Blue Jackets,Kent Johnson,0.5,3.1,Sportsbet,1.34,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-6.88493018777081
Buffalo Sabres,New Jersey Devils,Rasmus Dahlin,0.5,2.06,Pinnacle,1.714,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-6.886746496584384
Vancouver Canucks,Detroit Red Wings,Dylan Larkin,0.5,2.36,Sportsbet,1.55,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-6.889010388190275
